STATION ID,STATION NAME,DATE,DAILY AVG TEMP (DEG F),DAILY MAX TEMP (DEG F),DAILY MIN TEMP (DEG F),DAILY PRECIPITATION TOTAL (INCHES)
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/1/48,44.5,62,27,1.28
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/2/48,30.5,35,26,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/3/48,31.5,34,29,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/4/48,34.5,39,30,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/5/48,34.5,37,32,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/6/48,39.5,48,31,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/7/48,38.0,49,27,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/8/48,48.0,59,37,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/9/48,47.0,59,35,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/10/48,33.5,41,26,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/11/48,34.0,46,22,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/12/48,39.0,44,34,0.51
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/13/48,26.0,36,16,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/14/48,13.0,18,8,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/15/48,24.0,40,8,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/16/48,27.0,36,18,0.01
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/17/48,15.0,22,8,0.11
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/18/48,12.0,21,3,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/19/48,20.0,33,7,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/20/48,27.0,41,13,0.01
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/21/48,33.5,44,23,0.05
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/22/48,17.0,24,10,0.08
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/23/48,11.5,19,4,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/24/48,8.0,16,0,0.28
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/25/48,8.0,21,-5,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/26/48,9.5,25,-6,0.02
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/27/48,16.5,23,10,0.06
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/28/48,10.0,21,-1,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/29/48,15.0,25,5,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/30/48,25.0,31,19,0.01
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1/31/48,16.5,19,14,0.12
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/1/48,19.0,23,15,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/2/48,23.0,39,7,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/3/48,27.5,39,16,0.01
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/4/48,34.5,38,31,0.27
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/5/48,31.5,36,27,0.54
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/6/48,24.5,34,15,0.00
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",2/7/48,29.5,42,17,0.00
