fifties,sixties,seventies,eighties,nineties,twok,twenty ten
50,34,31,32.5,33,46.5,23.5
54.5,42.5,30.5,33,34,59.5,18
62.5,36,22.5,33,44,62.5,17
47.5,28.5,26.5,30.5,49,43,21
30,29.5,35.5,24.5,38.5,30.5,18.5
33.5,33,22,27,41.5,36,20
32,41,4,34,37,38.5,20
34.5,39.5,2.5,26.5,43.5,34,15
50,42.5,6.5,31.5,48,44.5,20
47,50.5,10.5,39.5,39,48,21.5
34.5,51,26.5,44,45.5,45,23.5
46.5,57,23.5,27.5,32.5,44.5,26.5
62.5,61,21.5,37.5,29,44,28
45.5,56.5,31,45,41.5,29,37
51,47,39,42.5,57,39.5,46
35.5,34.5,39.5,49,60.5,46,47
41,35,42.5,47,58.5,29.5,41
39,38.5,31,39.5,49.5,29.5,33.5
27.5,27,21.5,37.5,37.5,30,39.5
29.5,25.5,11.5,34.5,51,24.5,38.5
40.5,22,8,30.5,42,16,42
50.5,18,12,36.5,44,25,44.5
58.5,21,26,26,45,31,49
65.5,26,29,33.5,51,20,49.5
71.5,32.5,49,41,46,17.5,38.5
52,41.5,41.5,35,38.5,22,29
34,46.5,42.5,34,48,18,30.5
42.5,43,52,26.5,39.5,21.5,30.5
49.5,41.5,50,23,33,29.5,20
30.5,35.5,34,18.5,37.5,30.5,24
33.5,39.5,43,17,42,30,20.5
37.5,33.5,30,36.5,31,23.5,44.5
48.5,31,43,33.5,33,19.5,28.5
48.5,31.5,42.5,34.5,28,17.5,31
40,31.5,42.5,17,26.5,31,36.5
41.5,39,24,17,39,37.5,29.5
38.5,46.5,19.5,29.5,40.5,33.5,35.5
22.5,46,17,22.5,37,39.5,30.5
16.5,30,19.5,17,36.5,30.5,19.5
26,24,27,18.5,37,27,21
39.5,32.5,30.5,18.5,36.5,30.5,29
34.5,37.5,42,15.5,45.5,30.5,26.5
37.5,40,40,13,35,40.5,21.5
39,40,49.5,30.5,32.5,39.5,22.5
44,43.5,48,26,42.5,40.5,29.5
34,40.5,28.5,32.5,42.5,40.5,37.5
37,37,23.5,24.5,43,35.5,31
48.5,41.5,29.5,22,36.5,34.5,33
58,36,23,35.5,37,39.5,41.5
59,30,18,38.5,41,34.5,34.5
48.5,22.5,22,40,34.5,24.5,27
27.5,11.5,36,37.5,20.5,20.5,15
30,14,37,36,17.5,28.5,17
39,24,32.5,38,33,32.5,26
31,20,36,36.5,30,36,32
22,12,43,48,23.5,28.5,38
26.5,16.5,31.5,52.5,30,34,30.5
42.5,7,14.5,39,30.5,32.5,33
32,7,21,37.5,31,29.5,36.5
21,17,37.5,33,39.5,46,42.5
14.5,17.5,36,30.5,36.5,46.5,40.5
21.5,32.5,11.5,30,31,37.5,34
54.5,29,35,34,43.5,23,46
35.5,28,37.5,36,43.5,25,27
34.5,44,38,52,47.5,27.5,24
37,45,38,45,43,28.5,36.5
33.5,46.5,21.5,34,37.5,37,43
31,38.5,22.5,48,39.5,35.5,53.5
30,30,36,29,38,30.5,47.5
42.5,22,35.5,21.5,40,33,40
39,8,45.5,16.5,44.5,47.5,45.5
30.5,-1,48.5,-4,34,52,43
31.5,5,43,6,38,38.5,48
44,13,43,17,36.5,38.5,32.5
54,28,45.5,23,48,38.5,20.5
62.5,40,22.5,16,36.5,47,25
51,36.5,4,28.5,19,38,28.5
45.5,28.5,4.5,15.5,15.5,38,43.5
56,24,29.5,-1.5,33.5,40.5,47.5
40.5,25,46,22,20.5,33.5,32
48.5,26,51.5,35,20,31,34.5
