fifties,sixties,seventies,eighties,nineties,twok,twenty ten
75,74,82,72.5,81,73,73
76.5,73,86,83.5,75,77,75
78,76,78.5,77,78.5,80.5,79
75,71,73.5,80.5,83.5,81.5,84.5
77,70.5,68,84,83.5,79.5,84
71.5,70,68,81.5,80.5,82.5,84
70.5,71.5,71,79,76,77,86
72.5,70.5,75.5,88,82.5,75.5,86.5
74,72,71,87.5,90,79.5,81
75,72,71.5,87,89,82,81.5
76.5,74,75.5,84.5,82.5,80.5,82.5
77,75,75.5,86,73.5,80,81
72,76,78.5,83,71.5,81.5,79
71.5,69.5,80.5,83,69,79,83.5
72,68,80.5,87.5,68,77.5,86
78.5,69,75.5,88.5,74.5,73.5,86
79.5,74.5,73.5,84,76,75.5,83.5
74.5,76.5,75,81,78.5,80,83.5
80,75.5,77.5,85,80.5,75,83
75,76,65,87.5,82,72.5,81.5
70.5,75,66,84.5,78,73,82.5
73,75,68,74,77,70.5,85
72,78,73,74.5,76,72,88.5
77.5,78,76,74.5,75,72.5,88
78,80,78.5,78.5,75.5,73.5,88
68.5,78,79.5,79,76,78,84
73,76,80.5,75.5,81,77.5,85
75.5,77.5,81.5,74,81,77.5,85.5
74.5,76.5,82,75.5,80.5,72.5,84.5
76.5,77.5,81.5,81,82.5,74,77
76.5,75,81,84.5,76.5,77,77.5
70.5,77,79,78.5,88.5,78,79
72.5,78.5,76.5,74,84.5,69,81.5
75,72.5,75,74,80,76.5,81.5
74.5,71,77,74.5,78,78.5,78.5
65.5,80.5,77.5,74.5,81.5,78.5,81
69.5,78,77,78,86,71.5,81.5
72,75,77.5,82,85.5,75.5,81.5
77,69.5,81,83.5,81.5,84,78.5
77.5,66.5,80.5,85,78.5,80.5,80
77.5,67.5,79,84.5,79.5,84,81.5
77,68.5,76.5,81.5,80.5,77,87
78,70,75.5,81.5,82.5,70.5,84.5
78.5,75.5,79,84.5,81.5,73,82
81,74.5,76.5,85,77,74,79.5
80,76,74,78.5,77,74,79.5
81.5,76,76,81,79.5,78,81.5
81,76.5,77.5,80.5,81.5,82.5,83
81.5,77,75.5,79,81.5,78.5,84.5
82,78.5,75.5,82.5,85,83.5,83.5
76.5,78,69.5,82,85,80,84
75,79.5,69.5,77.5,85.5,82,88.5
83.5,82,71,73,87.5,83,86
81,81,74.5,73.5,88.5,82.5,87.5
77,80.5,75,77.5,81.5,83.5,86.5
78.5,79.5,77,81.5,76.5,83,84.5
82,76.5,77,82.5,79.5,78.5,84
80.5,75.5,67,84,77.5,77,85.5
79.5,77.5,69,78.5,76,79,87.5
81.5,83,72.5,66,77,81.5,87
81.5,85,65,69.5,78,82,85.5
80.5,84,64.5,73,76.5,82,85.5
84,79,80.5,67.5,80.5,85.5,88.5
85,76.5,76.5,74.5,80,86,86.5
84,78,77.5,78,76,86,85
79.5,78,67.5,80.5,73.5,86,89
79.5,78.5,68,80.5,76.5,87,91
81,78.5,64.5,81.5,74.5,76,89.5
81.5,79.5,65,81,71.5,79,93
76.5,81,70.5,75.5,80,82,85
69.5,74,76.5,77,83.5,82,79.5
70.5,72.5,79.5,77,83,78.5,82.5
73.5,75,79.5,76.5,82,76.5,84
78,81,77,74.5,82.5,75.5,81
81,81,80,74,85,75,77.5
83,82,81.5,76,84.5,75.5,80.5
78.5,81,76,78,77.5,78,83
78,79,76,81,78,81,84.5
84,77,80,82,76.5,81.5,87
83.5,73.5,82,80.5,76,81,87
84,72.5,82.5,81,76,80,86
85.5,75.5,83.5,79.5,79,82,81
87,79,84.5,79.5,77.5,83,77.5
88.5,76,83.5,80,79.5,83.5,81.5
87,77,84,77,81,80,87
76,71.5,83.5,77.5,82,80.5,87.5
77,77.5,80.5,80,82,80,89
81.5,64.5,76.5,81,79.5,81,88
85.5,65,83,82,74.5,86,83.5
84,70.5,73.5,77,75,86.5,79
82.5,76,72.5,75,75.5,84,78.5
76,77.5,72,76,77,83,80.5
75,74.5,74,76,71.5,82.5,85
85,77,79.5,82.5,83.5,75.5,73.5
88,77,79,81.5,82.5,77.5,73.5
