fifties,sixties,seventies,eighties,nineties,twok,twenty ten
52.5,50,70.5,57,56,64.5,69
54,54.5,56,58,56.5,65,67.5
67.5,62.5,51,64.5,61,68.5,68.5
76.5,67.5,57,66,69.5,70,68.5
77.5,68.5,62.5,69.5,55.5,73,72
60.5,68.5,53,68.5,58.5,74,71
60,52,58,59,61,75.5,74
58.5,44,68.5,51.5,67,79.5,54.5
69,42.5,72.5,52.5,68.5,78,52.5
62.5,44,65.5,59,57.5,64.5,55.5
60.5,48,69,75.5,55,70.5,67
56.5,48,75,74,61,80.5,73.5
58,55,73.5,74.5,62,67,76.5
66.5,62.5,74,59,66.5,56.5,74.5
70,68.5,72,59.5,66.5,60.5,70
70.5,76,57.5,60.5,71.5,64,65
67,73,57.5,63.5,67,70.5,66
67.5,69.5,60.5,70,67.5,79,61.5
68,76.5,65.5,69.5,70,69,61
64.5,75.5,70,67.5,71.5,56.5,63.5
66,70.5,71.5,67.5,63,61,71.5
66.5,72.5,74.5,70,56.5,67,71.5
71,70,74.5,73.5,60,68.5,76
76,74.5,76,69,67,76.5,79.5
76.5,73.5,77,72.5,70,70,78
79,74.5,66.5,69.5,72.5,64,79
69.5,65,64.5,68.5,71.5,74,79.5
73.5,63.5,71,70.5,63,65.5,79.5
73.5,69,76,76.5,68,67.5,79.5
71,72,71.5,77,64,67.5,80.5
67.5,69.5,71.5,77.5,65.5,75,78.5
77,54.5,55,61,61.5,72,69
77.5,47.5,51.5,56.5,60,70.5,56
69,50,51,59.5,63.5,72,53.5
61,52.5,51,64.5,72,73,49
59,51,60.5,70.5,69.5,73,53
51.5,66.5,65,56,53.5,76.5,60.5
53.5,65,64.5,53.5,59.5,70.5,61.5
60,62.5,62,59,66.5,67.5,69.5
63.5,55.5,62,67,63,66,72
69,55,64,65,71.5,69.5,76
55,62,67.5,52,75,74,79
59.5,64,56,55,74,64,79
63.5,66.5,52.5,60.5,72,60,73
68.5,70,57.5,62,76.5,63,65.5
70,67.5,62.5,57.5,77,74.5,55.5
71,59,66.5,59,78,78,55.5
71.5,58,71,63,80,78,52
74,64,71.5,57,74.5,76.5,55
78,59.5,72,51,71.5,72,66
75,57,65.5,58,74,73.5,71.5
75.5,63,62,60.5,75,69.5,76
73.5,57,58.5,63.5,78.5,62.5,76
59.5,54,59.5,68.5,78,60,76.5
62,57,72.5,72,79.5,61.5,73
67.5,62,61,75.5,79.5,56,76
65,53.5,61.5,70,77,63.5,68
64,50.5,56.5,68,78.5,62,59
61.5,57,56,69.5,79.5,64.5,69.5
69,66,59,70.5,81,68,81
69.5,59,64,74,82.5,68.5,84
69,62.5,66,69.5,83.5,66.5,84.5
68.5,67,67.5,65,69,67,74.5
71.5,59,67.5,62.5,73,62,80
67,61,58.5,60.5,63,55,76
69.5,64.5,60,63,49.5,62,76.5
80,64,59.5,68.5,48.5,63,74
72,65.5,66,70.5,51,65.5,77.5
66,63,67,65,55.5,71.5,75.5
68.5,71.5,63.5,61,51.5,76.5,68.5
70,63,53.5,64,57.5,66.5,64.5
60.5,64,52.5,67,68,59.5,60
50.5,69.5,59,69,69.5,68.5,63
48.5,72,62,71.5,69,73,66
57,73.5,63.5,72.5,69,56.5,62
59,77.5,64.5,75,66.5,58,68
74,76,65,76,69,60.5,68.5
71,76,65,73,74,69,71
69.5,77.5,64,74,75.5,58,67.5
56.5,78,67,70,71,53,69
59.5,78,69.5,72.5,70.5,51,76
57.5,77,70,73.5,72.5,52,77.5
63.5,74,68.5,73.5,73.5,50.5,72
68.5,75.5,72,72,73,54.5,68.5
73.5,79,72,71.5,74,63,71.5
71,73.5,71.5,69,59.5,72,75
65,70,73,70.5,54.5,73,82
69,75.5,74.5,75.5,57.5,66.5,80.5
68,70.5,72,74.5,56.5,73,82
67,71.5,68,70.5,60.5,75,82.5
62,77.5,71.5,76,56.5,76,76.5
63,73,65,76,61.5,75.5,73
70,74,55,75,62,78,71
70.5,45.5,63.5,69,66.5,72,70.5
65.5,52,65,67.5,66.5,66,69.5
67,58.5,55,56.5,64,60.5,70.5
62.5,64.5,53.5,58,67,55.5,58.5
66.5,68.5,53,58.5,72,71,54
61,64,55.5,64.5,70.5,72.5,62
60.5,64,64.5,69.5,70.5,68,66.5
60.5,68,68,52,73,70.5,68.5
64.5,78.5,68,51,76,74.5,71
69,73.5,67.5,56,75.5,78.5,67.5
69.5,56,62.5,65,76,69,58.5
70.5,55.5,59.5,65.5,68,62.5,51.5
61,66.5,55,69.5,59,62.5,55
57,73,55,70.5,60,66,66.5
59,60.5,51.5,59,68.5,64,79
65,64.5,58,56,69,65.5,72
67.5,68,51.5,56.5,65,69.5,71
63,67.5,55.5,62,60.5,70.5,73.5
70,63,63,68,59,72.5,76
68.5,60.5,61,62.5,57,63.5,76
76,60.5,62,68,58,58,78
81,56,64.5,70.5,61.5,62.5,73
69,52,70,65,67.5,62,63.5
78,57,68.5,60.5,68.5,60.5,60.5
81.5,62,68,62,66,58,60
82.5,61,68.5,55.5,63.5,59.5,65.5
66.5,71,68,56.5,66,66,73.5
66.5,70,65,61.5,73,68.5,80
72,70,63.5,68,70,66.5,79.5
83.5,65.5,63.5,59.5,72,64.5,80
83.5,64.5,59,60.5,61.5,63.5,77
75,58,60,55,46,66.5,55
76,62.5,61,56,49,53,54.5
54,64.5,61,59,54,50.5,59
44.5,67.5,55,53.5,56,54,67.5
48,69,58.5,58.5,60,67.5,71.5
52.5,69.5,52,61,58.5,72.5,71.5
53,68.5,50,66,60,75,76
49,73,55.5,54,57,72.5,78.5
49,69,55.5,52.5,60.5,75,70.5
46.5,65.5,59.5,58,64,75,67.5
55.5,66,68,70.5,62.5,75,72
56.5,68,61,70,64,75.5,78
56,58,59,62,60.5,73,78
61.5,60.5,72.5,56,69.5,72.5,65.5
64.5,58.5,69,56,69,61.5,57.5
67,64,71.5,55.5,65,67,53
64.5,70.5,78.5,59,58.5,73,53
62.5,69.5,76,66,60,77.5,56
53,76,73.5,70,58,75.5,61.5
54,73,75,73,62,78.5,72
55.5,67.5,76,74.5,64,80.5,75.5
62.5,72,68.5,75,68.5,80.5,75.5
64,74.5,72,69.5,75,80,71
68,78,66,65.5,76,77.5,69
71.5,71,62,72,73.5,76.5,69.5
69.5,70,58.5,71,66,69,74
74.5,75,65,66.5,60,74.5,79.5
71,57,65.5,67,61,72.5,77
67.5,56.5,71.5,52,67,71.5,77.5
69,58,71,54,72.5,76,78
77.5,60,71,60,74,72,77
64,72,63,67,47.5,50.5,59
67,70.5,58.5,61,55.5,48.5,65.5
72,67,64,57,54.5,47,67
72.5,67.5,62,60,57.5,51.5,71.5
71.5,74,63.5,68,60.5,57.5,74
66.5,72,70,73.5,60,59.5,74.5
71,74.5,65,65.5,67,65,75.5
60,73,59.5,63,72,70,75.5
59.5,71.5,64,67,73.5,71,77.5
68,70.5,66,67,68,72.5,77
62.5,66,64,70.5,58,75,77.5
59.5,67,67,72.5,59,71.5,65.5
66.5,68,63.5,74,64.5,73.5,62
61,70,64.5,74.5,74.5,67.5,65
67.5,69.5,66,68,70,57.5,76.5
69,74.5,63.5,66.5,63.5,57.5,72.5
63.5,72.5,67.5,55.5,71.5,61,75.5
62.5,72,71.5,57.5,66,66.5,74
66,70.5,71.5,65,62,71.5,68
70,67.5,75.5,67.5,63.5,67,59.5
73,71,79,69,63,66.5,56.5
72,72.5,79,57,65,68,62.5
77,74.5,79,56.5,70.5,70.5,68
72,74.5,78.5,64,77,64,74
69.5,76,78,66.5,73.5,62,72
73.5,76,77,68,69,65,75
77.5,70.5,71,75.5,73,69.5,74
76.5,59,70.5,67,75.5,66.5,75.5
64.5,55,71.5,68,66.5,68.5,75
60.5,60.5,74.5,74,65.5,68.5,78.5
62,68,69.5,77,68,69,67.5
55,54.5,62.5,65,58,62,73.5
61,53.5,63,57.5,59.5,65,64
62,56.5,48.5,51.5,68.5,65.5,61
58.5,50.5,49,55.5,70.5,69.5,55.5
65,62.5,66,68,71.5,66,53
71,70,70,72,62,60,61
57,63,55.5,74,66,60.5,72
54,72,53,71.5,73.5,58.5,63.5
59.5,46.5,54,66.5,74,63.5,66
71.5,44,61,69.5,76,66.5,69.5
74,58.5,67,70,58.5,57.5,73.5
78.5,67,58,69.5,52.5,55.5,71.5
77,61,68,73,49.5,58.5,63
69.5,59,67.5,69,52,53,55.5
57,58.5,70,71.5,64.5,51.5,55
54.5,66,61,76,76,57,52.5
62,65.5,61,75,78.5,59.5,52.5
60.5,69,56,67,80,60,59.5
65.5,63.5,57.5,57.5,80.5,60,61
59,63.5,64.5,52,80.5,62.5,60
65,67,73.5,54,72.5,65,64
78.5,67.5,69.5,58.5,70.5,62,66
65.5,70.5,65.5,61.5,72,61,67.5
58.5,71,63.5,68,79,66,70
59.5,67.5,60,69.5,71.5,75,76
63.5,65.5,62.5,67,72.5,75.5,74.5
73,69,66.5,71,70,78,75.5
75,72.5,66,72,73.5,80,77
76.5,62,67.5,75,63,79.5,77.5
77.5,59,70,73.5,62,81.5,78
71.5,56.5,70.5,75.5,64.5,79.5,77.5
70,69,68.5,62.5,54,76,61
67,53.5,70.5,74,63,72,63
51.5,49,67.5,66.5,55,61,57.5
41.5,59,72,60.5,56,67,59
51,61,76,57.5,58,70,51
53,60,74.5,60.5,61.5,66.5,52
59,55.5,69,63.5,60.5,65.5,55
64.5,57.5,64.5,62.5,62,71.5,57
71.5,56,52,63.5,55.5,73.5,71.5
70.5,56.5,52.5,67.5,53.5,77,77
75,72.5,57.5,73.5,58.5,75,70.5
74.5,56.5,60.5,73,58.5,75,59.5
77,58.5,65.5,70.5,55,64,64
72,64,68,74.5,63,67,70.5
73.5,55.5,71,69.5,54.5,75.5,73
60,56.5,74.5,66.5,51,61.5,75.5
66.5,63,75.5,72.5,66.5,58,78
74,62.5,77.5,74.5,75,57.5,81
66.5,67,77,78,73,60,78
59.5,58.5,76.5,79.5,62.5,65,78.5
70.5,58.5,76,77,57.5,68.5,73
69,58,74,78.5,58,71,64
72.5,57,73,74.5,64.5,75.5,67.5
67.5,65,74.5,72,70,75.5,63
72,76.5,76,76.5,73.5,75,64
73.5,76.5,75.5,76,64,75,69.5
60.5,75.5,74,78,63.5,76.5,77
60.5,75.5,76,79,62,77,71
66.5,72,78,80,62.5,78,74.5
70.5,63.5,77,78,65.5,78.5,74.5
71.5,64.5,80.5,75.5,65,75,73.5
63,67.5,50,61,59,68.5,66.5
65.5,67.5,51.5,61,63.5,70,78
75,72.5,52,62,59,62.5,76.5
70.5,64,52.5,56.5,57.5,56.5,75.5
52.5,51.5,53,57.5,61.5,62,65.5
45,49,55,64,63,66,70.5
53.5,60.5,53.5,65.5,69,71,66.5
61.5,63,67,69.5,64,65,66.5
62,67,62,67.5,64,60.5,71
61,60,62,65,68.5,62.5,78
69,66,64,64.5,66.5,58,77
67.5,64,66.5,65,67,59,80
62.5,64.5,57.5,73,76.5,59.5,79
67.5,73,48,74.5,78,61.5,82
70,77,53.5,74.5,77,61,82
75,69,55.5,73.5,76.5,60.5,76
73,58.5,60,63,72.5,64.5,75
76,60,64.5,65,72,64,73.5
69,55.5,69,65.5,76.5,59.5,76
66.5,55.5,69,70,75,60,79
64.5,57,68.5,74,75,61,79
73,57.5,64.5,73,66.5,62.5,77
65,67,75,69.5,73.5,66,77
70,71,73.5,67,75.5,66.5,76
70.5,69.5,77,59,70.5,67.5,76.5
65.5,66,74.5,61.5,69,75,79
68,61,74.5,64.5,72,74,79.5
67.5,65,76.5,69,74.5,64.5,80.5
62.5,62,76,72.5,77.5,67,79
68.5,63,76,75.5,79.5,73.5,80.5
74,62,73.5,76.5,79.5,80.5,77
68,57.5,58,56.5,62,64.5,76
76,63.5,64,50.5,63.5,56.5,71
78.5,67,65,53,64.5,60,70.5
77,68,51.5,55.5,71,60.5,64.5
80,70.5,52,60.5,71,66,64.5
79,71.5,59,45,66,62.5,66
64.5,73.5,68.5,46.5,65,66.5,70.5
63,69,75,54,64.5,68,73.5
70,55,73,58,67,64.5,72.5
76.5,53,75.5,57,70,61.5,61.5
77.5,52.5,77,56,73.5,63,61.5
69.5,55,62,53.5,72.5,60,56
67,59,61,56,66.5,67,54.5
51,66.5,62.5,61.5,64.5,68.5,60
51.5,68.5,66,60,68.5,70,61.5
54,66.5,60.5,60.5,73,67.5,68.5
55,69,63,62.5,75.5,58,77.5
64,69,66.5,67.5,67.5,55.5,78.5
75,68.5,70.5,69.5,65,62,72
72,69.5,68,72.5,67,66.5,68
75,65,64,69,69.5,71,66.5
75,71,60,66,69.5,74,75.5
74.5,62,66,66.5,68.5,75.5,82
70,64.5,57,69,59.5,74.5,81.5
73,68,51,75.5,60,75,82.5
77,67.5,55.5,76,64,74.5,79.5
71,66.5,63,65,64,74,78.5
77,72,67.5,62.5,66,73.5,82.5
79,72.5,66.5,73.5,70.5,68.5,75
78,75.5,68,79.5,73.5,71,73.5
77,75,71.5,80,71,72,73.5
