fifties,sixties,seventies,eighties,nineties,twok,twenty ten
29,20.5,50,13,39,54,38.5
20,25.5,51,11,47,46,36
27,24,58,18,42.5,39.5,33.5
41.5,14.5,52,40.5,39,47.5,38
51,14,41,39.5,47.5,51.5,38.5
50,14.5,42.5,37.5,50.5,54.5,39.5
56,21.5,43.5,47.5,46,63.5,44
38.5,19,48,52,52.5,67,51.5
28.5,25.5,46.5,44,60,61,52
38,30,39,46.5,65,51.5,63
48.5,29.5,37,32.5,70,39,61
45.5,23.5,35,33,70.5,36.5,51.5
31.5,22.5,34,37.5,70.5,41.5,48
34,27.5,29.5,38.5,70,52,42.5
40.5,35.5,27.5,46.5,64,58.5,46
39.5,39,29.5,53.5,54.5,49.5,52
46,31.5,35.5,48.5,52.5,40,55
36,33.5,41,40.5,47.5,43.5,54
41,31,49.5,44.5,38,52.5,54.5
44,33,47.5,52.5,34.5,50.5,56.5
47,31.5,43,48,44,49.5,58.5
44,33.5,43.5,42,56,52,46
47,35,41.5,46,45,55.5,50
54.5,35,42.5,52,33.5,62.5,56
49.5,29.5,50,42,39,64,51.5
63,40.5,46.5,42,41,57,41.5
62.5,54.5,41.5,46.5,43,55.5,49
51,67,44.5,51,50,45.5,53.5
35,68.5,33.5,53,56.5,46.5,47
37,53.5,37,49,56,53,50
42,45,49,46,60.5,50.5,61
52,37.5,47,42,57,36.5,42
43.5,45,42,41.5,56,44,45
59,51.5,30,35.5,37.5,43.5,48.5
41.5,61,29.5,40.5,40.5,41.5,58.5
46.5,61.5,39,40.5,46,34,48
59,59.5,44.5,39.5,49.5,34,38
56.5,48,32.5,36,39.5,38,40.5
50.5,47,30,33.5,38,39,49.5
40,36.5,35,41,41.5,35.5,51.5
35.5,40,41,44.5,40,40,42
37,51.5,41,39.5,45,51,42.5
35.5,49.5,51.5,43,44.5,49.5,56.5
31.5,56,53.5,51,46,52,47.5
32,39,57,40.5,37.5,48.5,42
36,46.5,59,46.5,42,49.5,47
36,39,42,41,50,48,51.5
34,36,38.5,46.5,50.5,38.5,60.5
50,48,43.5,39,48.5,41,64.5
33,47,42,32.5,50.5,44.5,54.5
36.5,45,37.5,36.5,52,46.5,64
33.5,51,44,43.5,65.5,49.5,74.5
40,46.5,43,43.5,63.5,48.5,69.5
54.5,43,32.5,47,64,52,65.5
37.5,41.5,30.5,47,55.5,43,45
34.5,49,35.5,50.5,57.5,33.5,41
37,53,42.5,56.5,67,30.5,39.5
47.5,62,43,60,69.5,34.5,40
56,52,55,60.5,52.5,42,44
60,45.5,45,68,44.5,48.5,45
43,45.5,43,61.5,38.5,46,40.5
45,39,52,66.5,41.5,50,42.5
35,23.5,60.5,46,48.5,39,53
34.5,27.5,45,53,61,45.5,57
46.5,39,27.5,40,63.5,28.5,41.5
41,42.5,35,47,65,20.5,38.5
30.5,32.5,30,32,66.5,42.5,32.5
32.5,31.5,37,34,64,53.5,49.5
35,36,49.5,28.5,61,61.5,61
38,40,35,32,61,63,51.5
53,41.5,34,35.5,62.5,49,45.5
54,42,36.5,45.5,41,36,44
46.5,48.5,52.5,53.5,28,40.5,53
45.5,44.5,67.5,55,32,50,61
50,38.5,52.5,56.5,31.5,56,69.5
38,38.5,45,47.5,36.5,55.5,67.5
37,34,43,46,36,58,71.5
37.5,33,54,64,38.5,44.5,62
40.5,38,46,58,56.5,45,66.5
45.5,39,48,62,52,50.5,70
51,51.5,45,56,40,50,72.5
58,50.5,56.5,65.5,42,48,75
66,49,59.5,54,46.5,37.5,74.5
55,43.5,46.5,36.5,44,28,72.5
39.5,45,36,42,39.5,39,66
42.5,47.5,35,54,44.5,51.5,58
50,46.5,38.5,45.5,45.5,48,60.5
43.5,52.5,41,34,49.5,38,58
41.5,47.5,45.5,33,40,40,55.5
40.5,52,50.5,36.5,43.5,48.5,70.5
57.5,62,45,46.5,51.5,58,62.5
58,54.5,44,62.5,48.5,50.5,68.5
62,40,46.5,58.5,46,52.5,58.5
34,35.5,48,51.5,34,43.5,36
35,38,51,52,40.5,35.5,31.5
51.5,46.5,58,57,47.5,32.5,33
38,51.5,55.5,67.5,40.5,46,34
41,52,58,68.5,35,46,39.5
46,38.5,60.5,64.5,39.5,33,33
39.5,42.5,58.5,64.5,41.5,42,35.5
30,45,54.5,47.5,44,52,40
41.5,42,60.5,35,41.5,39.5,48.5
45,45,64,32,46.5,27.5,61.5
55,49,67,36,36.5,41.5,47.5
55,63,53,39,33,54,43.5
60.5,53,57,40,27,48.5,33
57.5,39.5,68.5,55,22,44,36
54.5,40,64,48,35,56,48.5
49.5,52,52,56,44.5,60,58
54.5,58,41,52,36,61.5,38.5
54,42,39.5,49.5,30,63,45
48,63,42,46,37.5,61.5,40
50.5,44,41.5,47,43.5,63.5,35
60,37,39.5,35.5,46,52,28.5
62.5,38.5,40,32,49.5,52,34.5
56.5,46,43.5,33,54,54,48
49.5,56.5,53.5,35,47,61,41
35.5,60.5,56,35.5,51.5,63.5,35
37,50,52.5,46,62,56,38
45,52,53,53,56.5,58,38.5
45,62.5,55.5,40,58.5,62.5,41.5
47.5,63.5,55.5,39.5,58.5,43,47
42,62,56.5,41,61,38,48
57.5,66.5,65.5,47,62.5,44,56
37,49,47,29.5,37.5,56.5,46.5
42.5,51.5,63.5,39,37,57,35
30,52,66.5,34,41,47,20.5
25.5,53.5,67,38,53.5,63,25
29,42,54.5,44.5,47.5,62.5,33.5
31,41,60.5,33.5,55.5,50.5,37.5
44,57.5,73,31.5,49.5,48.5,45
45.5,56.5,71,30.5,38,42.5,49.5
50.5,54.5,68.5,24,31,42,40
46.5,39,55,29,33,40.5,54
49.5,39.5,45.5,33.5,39,46.5,64
55.5,41.5,39.5,29,44.5,35.5,49
51.5,48,36,39.5,45.5,40,33.5
31.5,58,40.5,38,47,49,50.5
33,46.5,50.5,54.5,52,46,54
37.5,48.5,41.5,49.5,38.5,40,40.5
41,45.5,35,43,35.5,44,37.5
49.5,31,44.5,44,51.5,55.5,44
57,35.5,50.5,51.5,42,49,51
39.5,49,47,48,51.5,58.5,45.5
35.5,38.5,37,35,53,41.5,57
37.5,43,37,42.5,50.5,35,50.5
45.5,46,37.5,44,61,44.5,40
55,60.5,25,44.5,59,60.5,36.5
60.5,56.5,32.5,48,45.5,68,34
48.5,37.5,49,45,44,71.5,33
53.5,36,52,54,46.5,68,48.5
60.5,42.5,58.5,49.5,49,70,59
54,32.5,62,45,41,60.5,45
36.5,30,47,39.5,40,51.5,46.5
40,40.5,48,40,46,45,53.5
52,55,33,45.5,35,29.5,36
47,49.5,26.5,49.5,28.5,31.5,33
58,39.5,30,50.5,33.5,33,47
66.5,34,33,58.5,39,46,35
51.5,29.5,37.5,38.5,49.5,44,22
36,31.5,54.5,36,54.5,46.5,20
28,36,48,48.5,52,51.5,37
46.5,37.5,32.5,54,32,34.5,43.5
57,37.5,31,47.5,31.5,34,48
65,32,35.5,49.5,41,33,51
64.5,31,40,56,50.5,37.5,57.5
62.5,41,53,52.5,55.5,41.5,54
48.5,36,39,41.5,59.5,35,55.5
53.5,34.5,33.5,47.5,61,35.5,57.5
61.5,38,36.5,43,64,38,55
49,46,42,47,61,41.5,65.5
35.5,55.5,49.5,41.5,61.5,46.5,52
42.5,34.5,52,37,56,47.5,41
47,24.5,52.5,51.5,61,48,45.5
53.5,26.5,55.5,59.5,61,44,48
58,34,59,51,55,44.5,56
42,46,57,46.5,54.5,43.5,52.5
45.5,49.5,57,52,52.5,42.5,50
44,34,58,44,48,43,42.5
38,34,40,44.5,49.5,53,62
19,32.5,36.5,50,54,51.5,49.5
25,38,40.5,62,55.5,46.5,36
35.5,48.5,50.5,71,47.5,48.5,33
38.5,52,48.5,66.5,45.5,53,42.5
45,44.5,37.5,55.5,44.5,63.5,54.5
52,42.5,42.5,57.5,42,61.5,61.5
52,48,63,28,32,61.5,46
53,48.5,68.5,37.5,36,54,35
48,55,71.5,40,23,40.5,37
46,48,73,38.5,40.5,37,36.5
63.5,31.5,55,39.5,57,37,40
70,25,40.5,40,43.5,41.5,44
52,26,44,29.5,25.5,41,56.5
28.5,29.5,44,31.5,15.5,52.5,64.5
43.5,39.5,45.5,56.5,21.5,60.5,63.5
50,53.5,46.5,60,29.5,53.5,59
46.5,52.5,51,48,37.5,53.5,54.5
38.5,59.5,53,57.5,42.5,63,64
42,53.5,36,63,51.5,57.5,66
41,54,41,57,62.5,43,65
42.5,55.5,49.5,51,57.5,46.5,67.5
35.5,51.5,41.5,41.5,45,55,67
41,54.5,33.5,46.5,49,47.5,59
37,53,50,54,47,39.5,53
32,48.5,60.5,53.5,40,38.5,47.5
34.5,47.5,66.5,33,32,42.5,44
40,60.5,49,28.5,30,33.5,45
48,69,43.5,36,35,33,54.5
49.5,53.5,51.5,50.5,40,38.5,62
38,33.5,56.5,52,56,41,59.5
41,36,55.5,61.5,49,41,44
60,40,62.5,62.5,33,40.5,51.5
62.5,35.5,52,49,39.5,44.5,63
58,36,49.5,52.5,42,49.5,53.5
49,39,55,63,48.5,50,51.5
41.5,50,64,66,55,58.5,60
46,42.5,49.5,68.5,53.5,61.5,65.5
41,30,36.5,47.5,62.5,52,56.5
37,51,36.5,45,53,48,41.5
32,57.5,44.5,45,41,35.5,36.5
37.5,48,51,40,50,31,44.5
39,52,43.5,49.5,46.5,43,52.5
41,35,41.5,54,40,33,59
35.5,30.5,41,54.5,45,49,56.5
36,31.5,49,55,59,42,55.5
36.5,40,57,44,51,53,59
42.5,55.5,58,31,47,56.5,45.5
58,67.5,61.5,34,55.5,49.5,35
51.5,65,59,37.5,49.5,54.5,34
52.5,65.5,54,39,52.5,67,37
60,67.5,55.5,50,46,68,32
47.5,48,63,53.5,32.5,52,30.5
46,38,51,47,34,42.5,34.5
52.5,34.5,48,45.5,43,36.5,45
56,28.5,55,51,48.5,37.5,45
46,36.5,44,50,46.5,47.5,44
41,48,46.5,48.5,53,57,57
40,46.5,52.5,49,60.5,66.5,58
44,43.5,45,51,55,65.5,43.5
46.5,53,45,57,46,69,49
53,52,41.5,56,47.5,70.5,69
48,60.5,48.5,55,57.5,70.5,68.5
46,65,54.5,52,48,72.5,64.5
40,67,58.5,56,55.5,72,62
44,59,65.5,57,61.5,67.5,63
44.5,59,71.5,61.5,53.5,66,60.5
43.5,64,71,37.5,47.5,67,67.5
53,69,51,31,46.5,70.5,53.5
42,32,28.5,42.5,40,45,51.5
44.5,39.5,23.5,42.5,35.5,54,43.5
35.5,29.5,26,47.5,35,57,43.5
40.5,36.5,20,34,41,40.5,44
44.5,49.5,17,35.5,37,40,45
47.5,37,35,36.5,46.5,43,49
37.5,38.5,35.5,45,51,29.5,38
43,48.5,34,55,62.5,25,34.5
37,63.5,37,50.5,42,31,37.5
33,49,42.5,45.5,26.5,41.5,43
36.5,43.5,43,48.5,22,37,41.5
40,33.5,44,51,23,52,38.5
35.5,27.5,50,36.5,33.5,57,38.5
35,34.5,49.5,28.5,40.5,48,35
36.5,47,43,29,36,42.5,52
39,47.5,40,28.5,44.5,45.5,43.5
34.5,48.5,34,34.5,51.5,48,53
40,52,36.5,34,58.5,56.5,50
37.5,59.5,54,38,58,46,51.5
37,54.5,56,50,49.5,46,41
36,44,50,42.5,37.5,53,35
38,33.5,48,52.5,43.5,48.5,36.5
39,27.5,55.5,65,41.5,38,43.5
45,34.5,44.5,64,43,38,41.5
44.5,42.5,45,61,57.5,46.5,44
41.5,52.5,39,50.5,70.5,59,54
46,58.5,40,46,72.5,58,59.5
46.5,63.5,52,57,74,54,59.5
45.5,67.5,53.5,68.5,74,44,55.5
46,65.5,50,55.5,74.5,54.5,51
49,56,64,54.5,66.5,62.5,51.5
34,35,45.5,31,44,31.5,36.5
39.5,39.5,47.5,41,48.5,24,41
43.5,36,51.5,54,37.5,24.5,34.5
44,40.5,51.5,60.5,36,40.5,22
47,36,39.5,45,47,53,22
39,39,44.5,29.5,39,62,25.5
37,40,44,26,30,65.5,33
42,40,46.5,33.5,32,62.5,38
42.5,35.5,46.5,41.5,39.5,51,51
38.5,25.5,34.5,45.5,31.5,65,53
35,29,27,54,32,53,48
34,27.5,39,48,35.5,33,44
45,31,49.5,52,36.5,42,58
58,35.5,44.5,59,33.5,43,67.5
47.5,34.5,30.5,52,36.5,51.5,48
36,37.5,39,43,45,58,42.5
33.5,45.5,49,56,61,57.5,45
35.5,49.5,62.5,52.5,52.5,61.5,42.5
49.5,55,59,37.5,43.5,52,44
50,61.5,62.5,43.5,48.5,42.5,52
40,45,66,35.5,49,48,46.5
33.5,44.5,64,37.5,42.5,53,49.5
46.5,52.5,58,45.5,42,61,47
56,50,42.5,55,51.5,62.5,53.5
67,41.5,31.5,58.5,42,57.5,48.5
61.5,36.5,36.5,62.5,39,54,43.5
48,39,39.5,64.5,44,54,49
39.5,46.5,53.5,70.5,48.5,54.5,58
41,41.5,66,64,57,41,62.5
54.5,33,68,58,53,46,54.5
65.5,31.5,56.5,43.5,54,56,40
