fifties,sixties,seventies,eighties,nineties,twok,twenty ten
48,61,53.5,48.5,59,58,69.5
48,60.5,50.5,57.5,49,61,72
62,51,49,60,41.5,56,62
55.5,51,44,50.5,48,44.5,62.5
37.5,45,43.5,46.5,50.5,49,74
35,52.5,50.5,50.5,43.5,64.5,77.5
43,55,49,61.5,38.5,62.5,69.5
55,52.5,57.5,62.5,45.5,45.5,53.5
45,37,59,50,55,46,51.5
62,41.5,55,54.5,54.5,55,55
52.5,52,57,53,45,54,60.5
42.5,70.5,58,51,40.5,45,64.5
32.5,70,63,42,48.5,51,67.5
34,71,48.5,44,49.5,59,69.5
43.5,70,56.5,42.5,44.5,63,72.5
49.5,75.5,64.5,45.5,53,63,71
53.5,61.5,65.5,50,51,56.5,56
64.5,50.5,60.5,55.5,44,53.5,51
54.5,55,68,59,51.5,64,54.5
48,64.5,63.5,61,67,64.5,58.5
49.5,64.5,57.5,65,64.5,49.5,58.5
60.5,69.5,64.5,66.5,62.5,53.5,61.5
71.5,76,66.5,70.5,67.5,55,65.5
73.5,77,60,57,73,55,65.5
60,76,59,47.5,74.5,58.5,63
55,65,67.5,52,73.5,55,54.5
55.5,60.5,66.5,54,72.5,54,54
54,61.5,66,49.5,64.5,59,52.5
63.5,59.5,75.5,49,64,58,60
60.5,61,77.5,52,69,61.5,71.5
46.5,41.5,51.5,65,53,44.5,45.5
41,35.5,42,60,48.5,51.5,52
41.5,43,46.5,68.5,58,57.5,62
47.5,47,48.5,65.5,58,55.5,60.5
50.5,51,47,47.5,65,60.5,49
54,43,38.5,47.5,65.5,74,57.5
50.5,40.5,46.5,56,69.5,79,63.5
47.5,41.5,53,63.5,69,77.5,74.5
45.5,44,60.5,65,65.5,77,72
50.5,38,50,66,50,74.5,76
47.5,41.5,56.5,74,51.5,75.5,68
40.5,46,64,72,58,74,57
40.5,44.5,61,74,65,65.5,57
55,50.5,48.5,61,69,63.5,59.5
51.5,48,52.5,51,62,57.5,62
38.5,37.5,56.5,55.5,63,49.5,51.5
42,39.5,64.5,70,65,38.5,57.5
52,44.5,66,70,62.5,43.5,69.5
53.5,47.5,62.5,58,57,52.5,74.5
51.5,56,64.5,52,50,60,56.5
60.5,61,65.5,49,48.5,71,53.5
51,62.5,54.5,60,50.5,74.5,62.5
47,67,52,64,56,71.5,66.5
60,75,54,53.5,53.5,55,65.5
75.5,64.5,55,54.5,55,53,70
62,55.5,59,68.5,66.5,56,68.5
67.5,58,58,76.5,69,65,64.5
75.5,49,60,73.5,66,64.5,58
77,47.5,51,67,69.5,61,60.5
76.5,56.5,52,62,69,66,65
56,40.5,41.5,53.5,42,49,63
47,42,38.5,58.5,37,63.5,66.5
51,42.5,43,55.5,38,43,71.5
47.5,46,48,46,45.5,41,69.5
40,53,48,44,45.5,42.5,54.5
39,53.5,58,32,51.5,42.5,50.5
47,52.5,49.5,31,61,51.5,55
50,53.5,33.5,35,62.5,66,59
62.5,50.5,40,37,65.5,55,56.5
53,49,57,43,69,54.5,52.5
42.5,50,62,46,72,65,45.5
61,51.5,69.5,57,55.5,69.5,48
54.5,38,75,62,54,66,53.5
41,43,66.5,52.5,61.5,66.5,65
42,38.5,64.5,61,62,75,72
49.5,41,62.5,66.5,71.5,76,64
54,44,58.5,57,71,76.5,57.5
59.5,53,62.5,51.5,71.5,75,58.5
65,48.5,72.5,56.5,72,76.5,61
68,47,64,57.5,71,72,65.5
67,57,58.5,45,62.5,71,49
70.5,69.5,61,50,60,53,50.5
66,58,60,49.5,66.5,53,51
58,55.5,53.5,55,64,59.5,54.5
56.5,61.5,49,55,51.5,54,63.5
59.5,66,50,59.5,48,57.5,67.5
62.5,70.5,53.5,54,46.5,58,53
65,72,61.5,50.5,50.5,64.5,66
68,70.5,59.5,54,51.5,57,65
67,74.5,64,62.5,65.5,62.5,73
53.5,69,57.5,52,46,65,45.5
47,74,50.5,50,35.5,67,41
49.5,69.5,47,42,41.5,68.5,43
48.5,49.5,44,46.5,48,71.5,46.5
48,44.5,42.5,53.5,46,52.5,51
46.5,52.5,50,64,49,40,59
52,54,49.5,57,55.5,56,67.5
55.5,61.5,52,46.5,64,47.5,65.5
71,54.5,44,52,56.5,39,73
60.5,42.5,34,44.5,54.5,48,75.5
50.5,51.5,38,49,62.5,53,66
44.5,51.5,43,53,52.5,57,49
43,49.5,42,61.5,55,56,50
46.5,51,45,54.5,58.5,64,59.5
49.5,50,58,41.5,65,70,66
46,60,62,42.5,46.5,70.5,71.5
55.5,74,61.5,42.5,49.5,63,70
39.5,77,62,37,53.5,61,74.5
36.5,71,67,36.5,65.5,67.5,58
41,66.5,72,41.5,60,68,47.5
50.5,68.5,73.5,48.5,44.5,57,51
63.5,71.5,73,53.5,48,50.5,57
72,60,63,52,57.5,51.5,61.5
66,49.5,61.5,53.5,63.5,55,55
65,56,56.5,52.5,61.5,58.5,49
48.5,58.5,55,58.5,56.5,59.5,53
48,57,52.5,69,54.5,59,56.5
61.5,62.5,50.5,66.5,62,63.5,61.5
67.5,63.5,56,61.5,65,71.5,62.5
66.5,47.5,67.5,66.5,68,73.5,65.5
38.5,39.5,63,45,48,47.5,67.5
48.5,57,56.5,48.5,59.5,51,58.5
43.5,54,66,52.5,50,53,61.5
48,42,55,56,46,46,55
62.5,57.5,40,48.5,57,47,46
65.5,66.5,45.5,49.5,44.5,53.5,51
70,63,53.5,48,43,66.5,53
52.5,41.5,43,50.5,52,64,53.5
