fifties,sixties,seventies,eighties,nineties,twok,twenty ten
81,76.5,82,83,73,76.5,82
75.5,82,78,86,76,79,84.5
66,82,80,80,76.5,77,85
68,77,73.5,82,80.5,77.5,92.5
73.5,80,73,81,78,74,83.5
70.5,81,75.5,80.5,71,84.5,81.5
73.5,82,75,84.5,66,80.5,79
75.5,79.5,70.5,85.5,71.5,77.5,81
72,76.5,74.5,87.5,76.5,84.5,86
77.5,76,73,88.5,77,79.5,90.5
74,71,75.5,84.5,75,76.5,88.5
72,71.5,76,79.5,78,73.5,89
72,71,74.5,78,74.5,72,89.5
72.5,75,76,82.5,75,75.5,88
78,78,78,76.5,75,80.5,86
80.5,71.5,80,72.5,77,82,80.5
79,75,79.5,80,79.5,81,78.5
74.5,78.5,80.5,84.5,83,75.5,81
72.5,77.5,80,84,85,72.5,80.5
64.5,76.5,77,84,85,72,82.5
64,75.5,76,84,81,72.5,82
65,75.5,77,77.5,78.5,76.5,83
67,75.5,73,74.5,74.5,75.5,78
71,75.5,68.5,75.5,77,74.5,77
75,75,70.5,78.5,79.5,75.5,79
74.5,77,71.5,80.5,81.5,74,73.5
77,77,74,81.5,83,74.5,74
78.5,78.5,74.5,81,83,76.5,79.5
74,80,77,75.5,76,78,84.5
74.5,78.5,81,75.5,76.5,81,85.5
73,77,79.5,80.5,77.5,80,81.5
82,82.5,68.5,77,80.5,83.5,84.5
78.5,83.5,72.5,80,84,84,85
80.5,77.5,74,79,87.5,81,87.5
73.5,74.5,70.5,83.5,83.5,80.5,82
71.5,76,71,83,78.5,80,81
76,72.5,73.5,80.5,80.5,83.5,81.5
84.5,74,74.5,71.5,81.5,84,83.5
83,75,74.5,74.5,85,84.5,82.5
78.5,77,77.5,73.5,77,81.5,81
78,76,80.5,76.5,76.5,82,79
77.5,79.5,77,74.5,76,78.5,74
78.5,74,70.5,71,76,79.5,74.5
79.5,66.5,70.5,73,73,77.5,77
80.5,68.5,72.5,75.5,74.5,75,74
79,72,74.5,78.5,74,78,74.5
76.5,74,76,75.5,78,77,74
72.5,75,74.5,71,77.5,74,77
76,77.5,76,70,79,76.5,81
74.5,76,76.5,75,73,73,77
76.5,71.5,79,72,71,71.5,80
76.5,68.5,80,72,75,72.5,83
70.5,68,73,72,77,80,77
71,74.5,76.5,76,80.5,84,77
70.5,73,73,77,82,78.5,85
73.5,74.5,77.5,77.5,83,83,83
79,73.5,76.5,78,77,80,78
72.5,74,68,76,81.5,77.5,78
76,78,68.5,78.5,84,77.5,79
72.5,79,70,77,84,80.5,75.5
83.5,80.5,73.5,77.5,80.5,79.5,74
86.5,81.5,76,80,82.5,74,81.5
75.5,73,73.5,73.5,70,85,85
79.5,73.5,79.5,74.5,71,86,82.5
82.5,75,80.5,81,71.5,87.5,79
80,78.5,73,83.5,71,87.5,84
76,82,71,80.5,70.5,87,81.5
74,82,70.5,79.5,73.5,79,82
76.5,80.5,71.5,80.5,75,74,83.5
79,81.5,70,78.5,77,75,83.5
79,74,68,76.5,82,77,82.5
75.5,70,66.5,72.5,83.5,80,75
78,68.5,70.5,64,77,81,71.5
76,75.5,76.5,66.5,73.5,83,72.5
78,76,77.5,67.5,74,83,71.5
81,67.5,77,70,69.5,77.5,77.5
82,70.5,79,74.5,68,82,78
83.5,73.5,79.5,73.5,67,82.5,78
80,74.5,83.5,78.5,68.5,79.5,75.5
78.5,70.5,84.5,74,72,80.5,71.5
