fifties,sixties,seventies,eighties,nineties,twok,twenty ten
68,68,76.5,77.5,72,78,80
67,67,75,81.5,75,79.5,80.5
64.5,70,67.5,80,71.5,67.5,78.5
61.5,72.5,70,71.5,57,69,79.5
66.5,75,67,74.5,59.5,67,82.5
70,66.5,67,81.5,74,63,76
73.5,64.5,68.5,83.5,74.5,64.5,74
74,64.5,71.5,66,81,70.5,78
75.5,69.5,75,65.5,76,76,77.5
75.5,71.5,75.5,68.5,73,80,78.5
68.5,77.5,75,60,70.5,82,81.5
65.5,76,75,64,72,82,83.5
70.5,74.5,73,71,77,84.5,83
74.5,69,75.5,77,81.5,82,83.5
77,69.5,74,82,81,76,83.5
79,75,76.5,69.5,81.5,81,80.5
70.5,63,82,66,83,75,79.5
75,61,82,69,80,70.5,83
75.5,69,69,72,77.5,73.5,80.5
73.5,74,69,63,75.5,78.5,82.5
77,74.5,71,69.5,78.5,75,87.5
77,82.5,67,71.5,76,77,84.5
82.5,72.5,68,74,70.5,80,87
83,71,71.5,74.5,70.5,80.5,83
84.5,67,78.5,76,70,78,80.5
85.5,68.5,78.5,78.5,73,79.5,84
71.5,73,68.5,81,78.5,69,86.5
67.5,71,67.5,84.5,80,69.5,81
70,77,72.5,76,81.5,71.5,78.5
67.5,76,79.5,71.5,82,70,74
79,79,70,66.5,82,61.5,83.5
82,76.5,73,75.5,81.5,64,78
77,69.5,73.5,74,82.5,60.5,78.5
67,67,77.5,78,74.5,64.5,81.5
66,70,78,79.5,68,75,78
67.5,71.5,79,76,68.5,77,79
71,69.5,78,72.5,72,76,81.5
72,75,75,75.5,74,72.5,84
67,70.5,69,83.5,74,70.5,84
69.5,73,69,76.5,75,71,84.5
67.5,74.5,74.5,73,76.5,75.5,78.5
69,77.5,77,78.5,80,79.5,74.5
69.5,77,81,81,81.5,82,72.5
68,73.5,77.5,82.5,81.5,82,71.5
71.5,57,72.5,84,84,80,70
73,58.5,75,76.5,77.5,75.5,77
75,61.5,73,69,77.5,77.5,78.5
76.5,64.5,77,71,79.5,77.5,73.5
78,66.5,80,71.5,80,78,74
79,68.5,78,74,82.5,75,80.5
76.5,60.5,79,77.5,78.5,77.5,80.5
80,63.5,72.5,78,78,68.5,75
79.5,65,71.5,75.5,77,68.5,76.5
79.5,64,75.5,76.5,78.5,71,72.5
81,67,80.5,80,78.5,73.5,73.5
77,67.5,85.5,72.5,77.5,75.5,72
82,67,85,72,79,74.5,76.5
82.5,68,78,75.5,80.5,75,79
75,70,79,79.5,83,77,75.5
70.5,73.5,81.5,78.5,84.5,77.5,76
69.5,74,59,65.5,63.5,82.5,61
69,72,64.5,66.5,67,82,62
71,72.5,71.5,70,67.5,81,71
73.5,73,78,62,68.5,84,68
76,74.5,77,65.5,71.5,80.5,67.5
78.5,77,75,66.5,74,67.5,64.5
84,75,69.5,68,75.5,66,69.5
81.5,75.5,67.5,73.5,73,73.5,72.5
78.5,75,76,75.5,72,80,75
77.5,77,61.5,68,69.5,79,76.5
76.5,68.5,59.5,67,71,79,77.5
76,70,65.5,65.5,72,79.5,77
80.5,65.5,78,71,71.5,78.5,71.5
81,66.5,80.5,66.5,75.5,70,73
86,67.5,75,73.5,77.5,69,76.5
86.5,69.5,71.5,67.5,77.5,71,80.5
