fifties,sixties,seventies,eighties,nineties,twok,twenty ten
74,51,51.5,53,60,64.5,51
59.5,47,44,49.5,61.5,67,51.5
43,42.5,44.5,56.5,63.5,64,51
37.5,45,43,56.5,64.5,52.5,50.5
40.5,45,45.5,48,55,49.5,43.5
54.5,42,46.5,47,44.5,50.5,40.5
60,36,53,66,43.5,64.5,44.5
59,40,50,59,37.5,56.5,56
48,42,56.5,65,42.5,56,58.5
32,31.5,50.5,48,46.5,40.5,58.5
30.5,33,51,40,44.5,48,59.5
34,37,53,43,48.5,46,58.5
39.5,50,51.5,52.5,45,43,60.5
44.5,60,41.5,57,52.5,36.5,46
56,65.5,35.5,47.5,60,39.5,41
51.5,56,35.5,42.5,59.5,44,46
40,43,37,39,47,32.5,49.5
42.5,46,43.5,38,43.5,30,45
54,37.5,46.5,36.5,48.5,36,50
43.5,41,48,37.5,51.5,36,50.5
30,45.5,40.5,42,59,26.5,60.5
38.5,48,41,39.5,56.5,31,69.5
33.5,43.5,23,47,47,36.5,55
9,39.5,19,43.5,53.5,40,41
9.5,45.5,28.5,36.5,61.5,48,50
25,51,50,33.5,63,43.5,33.5
28,61,61,41,71.5,36.5,39.5
30,57.5,54,37,53,40,39
29,37.5,58.5,42,38,42,49.5
38.5,30,56.5,45.5,37.5,35.5,46.5
40,59.5,67,61.5,53.5,65,52.5
31.5,69.5,64,62,37,65.5,57
25.5,58,50,61.5,29,56.5,50.5
28.5,39,44.5,64,26,55.5,52.5
33.5,47.5,50,57,30.5,49.5,48.5
39.5,41,43,48.5,44,49.5,52.5
31,38,28,44,35,52.5,58.5
33,36.5,32,51,29.5,57.5,62.5
40,38,42.5,49,33,48.5,56
46.5,44,46,42.5,36.5,51,44
50,49,47,46.5,42,48,41.5
55,58.5,51.5,45.5,38.5,49,56
62,57,62,45.5,48.5,52.5,64
56.5,56.5,62.5,47,55.5,56.5,68
54,57,66,47.5,54.5,55.5,58
38,56,62,46,54.5,59,49
31.5,40,60,52.5,55.5,60.5,39.5
24.5,36.5,61.5,49,61.5,59.5,39.5
25,35,50.5,58.5,65,50.5,54.5
28,36.5,45,40,65,39,58
38,36,41,31.5,55,42,56.5
51.5,41,32.5,32,48.5,47.5,57.5
50.5,48,31.5,36.5,45,55.5,47.5
35.5,42.5,34,43,31,62.5,45
42.5,46,35,42.5,29.5,53.5,51
39.5,50.5,36.5,56,31.5,52,59
30.5,44.5,41.5,44,41.5,57,54
35.5,29.5,41,39,53.5,44,46
40.5,30,44.5,39.5,64.5,55,41
44,35,38,36.5,56.5,53,39
64,40,69,72.5,64,41,46.5
63,42,60.5,69.5,59,39.5,50
45.5,44,53,52,59,43,44.5
41,41,48,38.5,54,46,44.5
56.5,40,46.5,35.5,40,48.5,41
49.5,40,53.5,37.5,39,44.5,45
40.5,42,55,46.5,37,48,44.5
44,46.5,46.5,55,43.5,57.5,45
49.5,45.5,47.5,54.5,45.5,64.5,49
42,48,49.5,55,53.5,67.5,61
39.5,43,48,63.5,56.5,52.5,62.5
41.5,47.5,50,51,52.5,42.5,49.5
46.5,44.5,48.5,30,38.5,47.5,39
50.5,45,47.5,35.5,32.5,52,39.5
59,51.5,36,32.5,35,47,40
64.5,57,36,38.5,42.5,39,42.5
62.5,50.5,40,47,56.5,36.5,46
60,38.5,41,51,58.5,41,48.5
50,40.5,42.5,59,54,48.5,49.5
40.5,41.5,38.5,61.5,57.5,47.5,54
43,50.5,40,59,59.5,48.5,54.5
40.5,39.5,37,58.5,62,39.5,52.5
45,38.5,32,55.5,47.5,40.5,45.5
43,40,33,35,46.5,48.5,31
58,40,36.5,31,58.5,42.5,42
46.5,37.5,37,40.5,42.5,34,41.5
31.5,40.5,44.5,38,35.5,34,38
27,47.5,36,51,33,31,37.5
30,52.5,33,48.5,37.5,47,40.5
29.5,49.5,34,56.5,34.5,39.5,53
53.5,49.5,52,60.5,38,69.5,59.5
57.5,41,56.5,61,39.5,67.5,52
61,40.5,49,58.5,45.5,68.5,47.5
49,45,48.5,43.5,51.5,68,53
38.5,53,42,42.5,50,61.5,57
35.5,56.5,38,45,35.5,49.5,57.5
35.5,53.5,42.5,52,32.5,44,45.5
41,50,45,52,39,41,43.5
41.5,49,35,54.5,45,41.5,49.5
43,54,31.5,49,45,52.5,47.5
46.5,48,40,40.5,48.5,63.5,50
45,44.5,47,35.5,53,56.5,37
44.5,37,57.5,40,60,40.5,33.5
49,42,67,42,67.5,40,42.5
53,41,58.5,46.5,56,44,47
52,57,42.5,40.5,50.5,51,55.5
52,63,40.5,41.5,57.5,55,60
54.5,52,46,46.5,47,66.5,49.5
59.5,45,55,61,44,55.5,40.5
61,52.5,58,53,39,55,43.5
53.5,61.5,56.5,52,41.5,59.5,54
51.5,63.5,55.5,58.5,47,63,50.5
48,46,54.5,56.5,50.5,63,35.5
45,36,63,38,54.5,42,26
37.5,44,55.5,41,53.5,36,34
36,54,53.5,50,48.5,46.5,35.5
36,48.5,62.5,45.5,35,52.5,28.5
30.5,47.5,49.5,47,31,40.5,30
37,41,40.5,39,29.5,36,35.5
43,36,51,40.5,37.5,49,42.5
37.5,58,69.5,61,48,67,40.5
28,59,67,44,50,64,41.5
37.5,57,67.5,44.5,63,52.5,53.5
38.5,57,63,57.5,67,53.5,59.5
41.5,57.5,48.5,50,67,48.5,55
45,46.5,38.5,43.5,57,56.5,50
48,49,44,43,53.5,60.5,45.5
51.5,52,49,46.5,59,48,46.5
52.5,51.5,46.5,56.5,59.5,45.5,46.5
50,55.5,53,52,52,53.5,51.5
50.5,61,52.5,40.5,51,51,51
53,66.5,41.5,39,52.5,47,37
53,53.5,44.5,37.5,59,44.5,29
58,53,39,43,63.5,45,29
53,58.5,37,53,55.5,46.5,31.5
57.5,65.5,39.5,38.5,50,52,38.5
59.5,54.5,47.5,33.5,52.5,56,26.5
60.5,48,46,37.5,53.5,58.5,20.5
56.5,38.5,58,36,49,58,32.5
49.5,35,51.5,32,59.5,57.5,29
42.5,22.5,38,32,56,53,31
44.5,22.5,39,32.5,40,52,50.5
41.5,34.5,53,38,37,53,54.5
41,38.5,53.5,41.5,40,53,51.5
37,43.5,38,43.5,43,39,40
36.5,45.5,33.5,55.5,40,44,36
42,51.5,35,59.5,54.5,47.5,33.5
45.5,50.5,40.5,40.5,52.5,43.5,32.5
35.5,34.5,40,40,44,44,47
35,20.5,35.5,47,35.5,48.5,65.5
57.5,46.5,60,63.5,63,51.5,59.5
52,48.5,63.5,55,59.5,53,60
37,57,65,49,38,61,64
36.5,58,66,46,34,65,67.5
45,56,66,47.5,30,68.5,71
49.5,60,64.5,54.5,39.5,60,65
39,62,65.5,45.5,47.5,54.5,54
35,55.5,65.5,48,34.5,66,49.5
37.5,50,65.5,55,37.5,65,43
45.5,44,57,66.5,55,46,51
56,45,52,56.5,42,46,50
63.5,52.5,54.5,63.5,30,55.5,57
71.5,47.5,39,67.5,39.5,59.5,49.5
62,41,38,62,33,52,45.5
66,52.5,41,53,34,61,52
51,55,54,54,38,40,48.5
31.5,35.5,51.5,48.5,48,29.5,58
33,32,52,66,47,35.5,61.5
32,40.5,54,72.5,45,43.5,51.5
35.5,44.5,53,52,48.5,48,44.5
50,50,39.5,35.5,40.5,40,46
54,45,38.5,45,35,40,33
50,45.5,38,42,40,43,38.5
34,41.5,34.5,46,34.5,35,46.5
39,52.5,35.5,53.5,40,25.5,50.5
37,60,36.5,65,52.5,39.5,59
36.5,46,33.5,56,53,54.5,62
15.5,38,35.5,46.5,38.5,61,54.5
21.5,28.5,49,45,36,44,46
24.5,27,48.5,49.5,38,36.5,47.5
58.5,44,42.5,63.5,43.5,43.5,73.5
58.5,36,46,55.5,35.5,38,72.5
61,30,47.5,55.5,36,37.5,65
60,31.5,37,51.5,45,42,58
61.5,38.5,39.5,51,58.5,50,53
55.5,39.5,44,53,60,54.5,57.5
54.5,58,39.5,57,59.5,54,60
39.5,66.5,32,62,45.5,53.5,57
39,65.5,48.5,49,38.5,59,51
45,54,46,41,34.5,64.5,50.5
52.5,46,36.5,42,32,55.5,56
46.5,44.5,32.5,39,34,41.5,46.5
42,44.5,30.5,24,35,43.5,46
