fifties,sixties,seventies,eighties,nineties,twok,twenty ten
70,58,59.5,68,62,66.5,65
68.5,71,65.5,65,67,72,62
62.5,62,59.5,53,72,75,55.5
53,62.5,52.5,43.5,69,74.5,55.5
52.5,62.5,59.5,49,67.5,74.5,57
56,65.5,65,50,69,54.5,62
63.5,60.5,68.5,61.5,68.5,43.5,71
55.5,66,64.5,67,72,41.5,69
56,63,63,71.5,71.5,43.5,69.5
59.5,64,51,72,58,49,71.5
61,62.5,59.5,59,51.5,53,72.5
59.5,63.5,66.5,50,55.5,55.5,72.5
54.5,63.5,70.5,49.5,57.5,59.5,69
66,66,66.5,58,59.5,63.5,59.5
66.5,67.5,53,68,59.5,66,62
67,57,46,69.5,60,64,59
68.5,54,45.5,68.5,68.5,60,66.5
67.5,55,48,61.5,55,59,69
65.5,51,54,51.5,47,59,61
63,42.5,55,52.5,54.5,61.5,59
65.5,42,54.5,60,62,62,60.5
65,47.5,53.5,59.5,53.5,66.5,55.5
59.5,58.5,57,61.5,53,70.5,65.5
61,44,58.5,53,52.5,72,73
53.5,44,62,44,48.5,69,70
51,56.5,64,41.5,46,69,65.5
64,50.5,62.5,43.5,49,70,64
70.5,53,61,47.5,48.5,59,57.5
66.5,51,51.5,40,47.5,53,47.5
69,60,51,42,55.5,54,52.5
70.5,56,52.5,48.5,58.5,62,56
71.5,64,76.5,66.5,71,63,53
69.5,55.5,74.5,51,71,67,54.5
74,53,74.5,50.5,70.5,70,59.5
76,53,70,60.5,75.5,70,64
78.5,59.5,65.5,72.5,59,62,66
71.5,60,64,63,48,51.5,71.5
59,59,54.5,55.5,49,50.5,70
47.5,59.5,54.5,52,54.5,55,69.5
47.5,62,59,56.5,60.5,58.5,65
49.5,65.5,50.5,63.5,61,67,70
50.5,67.5,58.5,63,60.5,69,65.5
55,70,56.5,60.5,57.5,70.5,66.5
57.5,68.5,63,61.5,55,71.5,64
58,52,64,59.5,56.5,61,61.5
60.5,48,63.5,63,52.5,57.5,58.5
62,59,66.5,63,47.5,50,66
65,62,65.5,64,51.5,47,61
64,61,66.5,54,64.5,50.5,54.5
51.5,49.5,67.5,47,55.5,59,45
53,46,68,51.5,45.5,62,44.5
