fifties,sixties,seventies,eighties,nineties,twok,twenty ten
80,77,76.5,84,79.5,79.5,82.5
74,80.5,76,81,81.5,81.5,84
78,80,78,78.5,81,79.5,75
67.5,79,75.5,82.5,77.5,75,68.5
62,81,75.5,80,82.5,68.5,67
64.5,80.5,75,81.5,84.5,71.5,75.5
63,79,78.5,79.5,86,73.5,83
66,79,80,78.5,77,73.5,77
70,74.5,78,81,78,76,71.5
70,65,71,68.5,77,76,68.5
72.5,66.5,64.5,68.5,76.5,70.5,75.5
70.5,64,66,74.5,72.5,74.5,73.5
69.5,62.5,75.5,81.5,76.5,71,75
66,62,78.5,80.5,74.5,66.5,79.5
64.5,66,79,71,67.5,63,79
67,69.5,77.5,69.5,66.5,58,79.5
67.5,64,77,70,61.5,59.5,71
69.5,67.5,73.5,67,60.5,66,76
77.5,68.5,69.5,70.5,69,69.5,78
74,63,77.5,76,69,71,79
73.5,67,80,81.5,65,62,83.5
62.5,67,80,80,66,66,86
63.5,73,80.5,67.5,53,75,83
48.5,73,78.5,66,54.5,65.5,83
53,71,72.5,67.5,60,53.5,71
61,70,70,59.5,71,56,66
64.5,67,58.5,58.5,71,57,63.5
67.5,65.5,56.5,63.5,70.5,57.5,64
67,67.5,56,66,75.5,58.5,65.5
72,63.5,67,70.5,67,62.5,69
85,79.5,78,78.5,79.5,73,87
77,80.5,77.5,73,80,74,88
72,80,77,78,79,76,88.5
70.5,80,79,74,73,80.5,77
76.5,82,79,74,76.5,79,65
72.5,81,77,72.5,79.5,78.5,61
65,79,76.5,73.5,77.5,78.5,61.5
64,81,77,72,75.5,80,60
66.5,81,78.5,66.5,78,76.5,64.5
71,80.5,78.5,68.5,81.5,68,70.5
73.5,79.5,71.5,72.5,80,70.5,71.5
75.5,81.5,69.5,73.5,81,72.5,73.5
69,79.5,67,75.5,85,72,78
64,69,71.5,75.5,82,65.5,73
65,59.5,74.5,66.5,83.5,63,59.5
64,60,65.5,60.5,83.5,65.5,61
61.5,61.5,69,55,76,68.5,65
63,62.5,67.5,56,68,71.5,68.5
66,67.5,70,59,58.5,69,66.5
69.5,71.5,61,67,54.5,68,70
74,70.5,59.5,66,59,70,74.5
63.5,77.5,64,61,63.5,69.5,69.5
59.5,79,66.5,56,64.5,71.5,63
60.5,78,61.5,60,56,58,61
67.5,72,64.5,68.5,60,50.5,65
74,58.5,74.5,74,59,55.5,64
65,61.5,77,68.5,56.5,62,64
52,61,76.5,59,63.5,57.5,62
53.5,62.5,78.5,57,68.5,58.5,67.5
61.5,72.5,78,70.5,69.5,60.5,58
81,75,77,71.5,71.5,80.5,81
64,77.5,77,74.5,72,81,77
61,73.5,67,67,76.5,85,79
62.5,76,67,63,75.5,81.5,82
68,63,68.5,65,74.5,78,81
72,60,67.5,67.5,77,79,78.5
66.5,61,72,70.5,77.5,83,79.5
72,66.5,76,72,77,83,68
74.5,74,69,71,79,84.5,68
76.5,67,69,73.5,68,84.5,69
77,64.5,75.5,74.5,63.5,75,70.5
78,70,78,77,64.5,71.5,73
